Name,RealValue,KindofData
Mean_Timer,9.441723055,Mean
Mean_Timer,9.505371972,Mean
Mean_Timer,9.413627988,Mean
Mean_Timer,9.529217404,Mean
Mean_Timer,9.48813774,Mean
Mean_Timer,9.501712951,Mean
Mean_Timer,9.51445342,Mean
Mean_Timer,8.970683529,Mean
Mean_Timer,9.488988276,Mean
Mean_Timer,9.464688753,Mean
Mean_Timer,9.401647509,Mean
Mean_Timer,9.469172112,Mean
Mean_Timer,9.435894248,Mean
Mean_Timer,9.502069044,Mean
Mean_Timer,9.409054411,Mean
Mean_Timer,9.471431085,Mean
Mean_Timer,9.411318727,Mean
Mean_Timer,9.549163482,Mean
Mean_Timer,9.487581479,Mean
Mean_Timer,9.461684318,Mean
Mean_Timer,9.500657748,Mean
Mean_Timer,9.464184374,Mean
Mean_Timer,9.416641468,Mean
Mean_Timer,9.495857336,Mean
Mean_Timer,9.515093993,Mean
Mean_Timer,9.497854418,Mean
Mean_Timer,9.180320472,Mean
Mean_Timer,9.458348724,Mean
Mean_Timer,9.514359124,Mean
Mean_Timer,9.451294072,Mean
Mean_Timer,9.438598876,Mean
Mean_Timer,9.527065193,Mean
Mean_Timer,9.472062192,Mean
Mean_Timer,9.465508029,Mean
Mean_Timer,9.486694387,Mean
Mean_Timer,9.487435958,Mean
Mean_Timer,9.462252858,Mean
Mean_Timer,9.507244483,Mean
Mean_Timer,9.483118226,Mean
Mean_Timer,9.454739569,Mean
Mean_Timer,9.480389883,Mean
Mean_Timer,9.452557785,Mean
Mean_Timer,9.505946229,Mean
Mean_Timer,9.423336137,Mean
Mean_Timer,9.514819308,Mean
Mean_Timer,9.435499349,Mean
Mean_Timer,9.455012895,Mean
Mean_Timer,9.476972225,Mean
Mean_Timer,9.474332226,Mean
Mean_Timer,9.514319756,Mean
Mean_Timer,9.51384734,Mean
Mean_Timer,9.451229677,Mean
Mean_Timer,9.434054169,Mean
Mean_Timer,9.447238371,Mean
Mean_Timer,9.52888212,Mean
Mean_Timer,9.466369438,Mean
Mean_Timer,9.451675707,Mean
Mean_Timer,9.460827408,Mean
Mean_Timer,9.508459548,Mean
Mean_Timer,9.493643917,Mean
Mean_Timer,9.408591509,Mean
Mean_Timer,9.496491067,Mean
Mean_Timer,9.555016895,Mean
Mean_Timer,9.443097514,Mean
Mean_Timer,9.40319425,Mean
Mean_Timer,9.428172355,Mean
Mean_Timer,9.469645793,Mean
Mean_Timer,9.556879048,Mean
Mean_Timer,9.55405505,Mean
Mean_Timer,9.452980007,Mean
Mean_Timer,9.436914207,Mean
Mean_Timer,9.453963925,Mean
Mean_Timer,9.445250147,Mean
Mean_Timer,9.492899112,Mean
Mean_Timer,9.501283746,Mean
Mean_Timer,9.440688286,Mean
Mean_Timer,9.498403321,Mean
Mean_Timer,9.401103949,Mean
Mean_Timer,9.447085492,Mean
Mean_Timer,9.398115965,Mean
Mean_Timer,9.478790089,Mean
Mean_Timer,9.463414589,Mean
Mean_Timer,9.482683022,Mean
Mean_Timer,9.420188244,Mean
Mean_Timer,9.442842044,Mean
Mean_Timer,9.444516308,Mean
Mean_Timer,9.461626532,Mean
Mean_Timer,9.436599591,Mean
Mean_Timer,9.515845641,Mean
Mean_Timer,9.441924675,Mean
Mean_Timer,9.474529862,Mean
Mean_Timer,9.444623399,Mean
Mean_Timer,9.51761842,Mean
Mean_Timer,9.45975852,Mean
Mean_Timer,9.474378999,Mean
Mean_Timer,9.582252193,Mean
Mean_Timer,9.457288975,Mean
Mean_Timer,9.521823625,Mean
Mean_Timer,9.401441811,Mean
Mean_Timer,9.457216097,Mean
Mean_Timer,9.403673696,Mean
Mean_Timer,9.428787621,Mean
Mean_Timer,9.475720885,Mean
Mean_Timer,9.412341686,Mean
Mean_Timer,9.473400469,Mean
Mean_Timer,9.458453799,Mean
Mean_Timer,9.472014763,Mean
Mean_Timer,9.482304714,Mean
Mean_Timer,9.45778234,Mean
Mean_Timer,9.413852105,Mean
Mean_Timer,9.481855216,Mean
Mean_Timer,9.478498063,Mean
Mean_Timer,9.453177456,Mean
Mean_Timer,9.510257447,Mean
Mean_Timer,9.501349453,Mean
Mean_Timer,9.448668367,Mean
Mean_Timer,9.441574019,Mean
Mean_Timer,9.47569703,Mean
Mean_Timer,9.482244866,Mean
Mean_Timer,9.446486583,Mean
Mean_Timer,9.504181746,Mean
Mean_Timer,9.496269481,Mean
Mean_Timer,9.458375438,Mean
Mean_Timer,9.405569687,Mean
Mean_Timer,9.501179608,Mean
Mean_Timer,9.512811774,Mean
Mean_Timer,9.517372651,Mean
Mean_Timer,9.459941159,Mean
Mean_Timer,9.466945336,Mean
Mean_Timer,9.496391335,Mean
Mean_Timer,9.446963779,Mean
Mean_Timer,9.420993413,Mean
Mean_Timer,9.466037013,Mean
Mean_Timer,9.467754067,Mean
Mean_Timer,9.432322539,Mean
Mean_Timer,9.479545861,Mean
Mean_Timer,9.42837032,Mean
Mean_Timer,9.462700622,Mean
Mean_Timer,9.482165567,Mean
Mean_Timer,9.443799998,Mean
Mean_Timer,9.512403472,Mean
Mean_Timer,9.48554681,Mean
Mean_Timer,9.536026334,Mean
Mean_Timer,9.391167654,Mean
Mean_Timer,9.515372991,Mean
Mean_Timer,9.506315632,Mean
Mean_Timer,9.538114525,Mean
Mean_Timer,9.466691272,Mean
Mean_Timer,9.463462861,Mean
